ROI_name	hemisphere	structure	label	AreaDescription	region	network	network_ID
Ventral_Area_24d_L	L	cortex	24dv	Ventral Area 24d	Cingulate	Paracentral_Lobular_and_Mid_Cingulate	7.0
Area_5L_L	L	cortex	5L	Area 5L	Parietal	Paracentral_Lobular_and_Mid_Cingulate	7.0
Area_5m_L	L	cortex	5m	Area 5m	Parietal	Paracentral_Lobular_and_Mid_Cingulate	7.0
Area_5m_ventral_L	L	cortex	5mv	Area 5m ventral	Parietal	Paracentral_Lobular_and_Mid_Cingulate	7.0
Area_6m_anterior_L	L	cortex	6ma	Area 6m anterior	Frontal	Paracentral_Lobular_and_Mid_Cingulate	7.0
Area_6mp_L	L	cortex	6mp	Area 6mp	Frontal	Paracentral_Lobular_and_Mid_Cingulate	7.0
Supplementary_and_Cingulate_Eye_Field_L	L	cortex	SCEF	Supplementary and Cingulate Eye Field	Frontal	Paracentral_Lobular_and_Mid_Cingulate	7.0
Area_55b_L	L	cortex	55b	Area 55b	Frontal	Premotor	8.0
Area_6_anterior_L	L	cortex	6a	Area 6 anterior	Frontal	Premotor	8.0
Dorsal_area_6_L	L	cortex	6d	Dorsal area 6	Frontal	Premotor	8.0
Rostral_Area_6_L	L	cortex	6r	Rostral Area 6	Frontal	Premotor	8.0
Ventral_Area_6_L	L	cortex	6v	Ventral Area 6	Frontal	Premotor	8.0
Frontal_Eye_Fields_L	L	cortex	FEF	Frontal Eye Fields	Frontal	Premotor	8.0
Premotor_Eye_Field_L	L	cortex	PEF	Premotor Eye Field	Frontal	Premotor	8.0
Area_43_L	L	cortex	43	Area 43	Frontal	Posterior_Opercular	9.0
Frontal_Opercular_Area_1_L	L	cortex	FOP1	Frontal OPercular Area 1	Insula	Posterior_Opercular	9.0
Area_OP1-SII_L	L	cortex	OP1	Area OP1/SII	Insula	Posterior_Opercular	9.0
Area_OP2-3-VS_L	L	cortex	OP2-3	Area OP2-3/VS	Insula	Posterior_Opercular	9.0
Area_OP4-PV_L	L	cortex	OP4	Area OP4/PV	Insula	Posterior_Opercular	9.0
Area_52_L	L	cortex	52	Area 52	Temporal	Early_Auditory	10.0
Primary_Auditory_Cortex_L	L	cortex	A1	Primary Auditory Cortex	Temporal	Early_Auditory	10.0
Lateral_Belt_Complex_L	L	cortex	LBelt	Lateral Belt Complex	Temporal	Early_Auditory	10.0
Medial_Belt_Complex_L	L	cortex	MBelt	Medial Belt Complex	Temporal	Early_Auditory	10.0
ParaBelt_Complex_L	L	cortex	PBelt	ParaBelt Complex	Temporal	Early_Auditory	10.0
Area_PFcm_L	L	cortex	PFcm	Area PFcm	Parietal	Early_Auditory	10.0
RetroInsular_Cortex_L	L	cortex	RI	RetroInsular Cortex	Temporal	Early_Auditory	10.0
Auditory_4_Complex_L	L	cortex	A4	Auditory 4 Complex	Temporal	Auditory_Association	11.0
Auditory_5_Complex_L	L	cortex	A5	Auditory 5 Complex	Temporal	Auditory_Association	11.0
Area_STGa_L	L	cortex	STGa	Area STGa	Temporal	Auditory_Association	11.0
Area_STSd_anterior_L	L	cortex	STSda	Area STSd anterior	Temporal	Auditory_Association	11.0
Area_STSd_posterior_L	L	cortex	STSdp	Area STSd posterior	Temporal	Auditory_Association	11.0
Area_STSv_anterior_L	L	cortex	STSva	Area STSv anterior	Temporal	Auditory_Association	11.0
Area_STSv_posterior_L	L	cortex	STSvp	Area STSv posterior	Temporal	Auditory_Association	11.0
Area_TA2_L	L	cortex	TA2	Area TA2	Temporal	Auditory_Association	11.0
Anterior_Agranular_Insula_Complex_L	L	cortex	AAIC	Anterior Agranular Insula Complex	Insula	Insular_and_Frontal_Opercular	12.0
Anterior_Ventral_Insular_Area_L	L	cortex	AVI	Anterior Ventral Insular Area	Insula	Insular_and_Frontal_Opercular	12.0
Frontal_Opercular_Area_2_L	L	cortex	FOP2	Frontal OPercular Area 2	Insula	Insular_and_Frontal_Opercular	12.0
Frontal_Opercular_Area_3_L	L	cortex	FOP3	Frontal OPercular Area 3	Insula	Insular_and_Frontal_Opercular	12.0
Frontal_Opercular_Area_4_L	L	cortex	FOP4	Frontal OPercular Area 4	Insula	Insular_and_Frontal_Opercular	12.0
Area_Frontal_Opercular_5_L	L	cortex	FOP5	Area Frontal Opercular 5	Insula	Insular_and_Frontal_Opercular	12.0
Insular_Granular_Complex_L	L	cortex	Ig	Insular Granular Complex	Insula	Insular_and_Frontal_Opercular	12.0
Middle_Insular_Area_L	L	cortex	MI	Middle Insular Area	Insula	Insular_and_Frontal_Opercular	12.0
Para-Insular_Area_L	L	cortex	PI	Para-Insular Area	Insula	Insular_and_Frontal_Opercular	12.0
Pirform_Cortex_L	L	cortex	Pir	Piriform Cortex	Insula	Insular_and_Frontal_Opercular	12.0
Area_Posterior_Insular_1_L	L	cortex	PoI1	Area Posterior Insular 1	Insula	Insular_and_Frontal_Opercular	12.0
Posterior_Insular_Area_2_L	L	cortex	PoI2	Posterior Insular Area 2	Insula	Insular_and_Frontal_Opercular	12.0
