roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
DefaultA_PFCm_1_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
DefaultA_PFCm_2_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
DefaultA_PFCm_3_R	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultA_PFCm_4_R	679.099427	522380.34539	3512950.204551	-2990569.859161	-0.841786
DefaultA_PHC_1_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
DefaultA_Temp_1_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
DefaultA_Temp_2_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
DefaultA_Temp_3_R	1264.138012	11285070.716461	4769162.930317	6515907.786144	1.834098
DefaultA_TempPole_1_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
DefaultA_TempPole_2_R	527.357266	1428327.355611	3187124.799918	-1758797.444307	-0.495066
DefaultA_pCun_1_R	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
DefaultB_FPole_1_R	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
DefaultB_IPL_1_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
DefaultB_PFCd_1_R	2099.90204	3721194.657877	6563740.988294	-2842546.330417	-0.80012
DefaultB_PFCd_2_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
DefaultB_PFCd_3_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
DefaultB_PFCd_4_R	2099.90204	3721194.657877	6563740.988294	-2842546.330417	-0.80012
DefaultB_PFCv_1_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
DefaultB_Temp_1_R	1264.138012	11285070.716461	4769162.930317	6515907.786144	1.834098
DefaultB_Temp_2_R	1264.138012	11285070.716461	4769162.930317	6515907.786144	1.834098
DefaultB_TempPole_1_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
DefaultB_pCun_1_R	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
DefaultC_IPL_1_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
DefaultC_IPL_2_R	1009.766835	11285070.716461	4222969.366664	7062101.349797	1.98784
DefaultC_IPL_3_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
DefaultC_PFCd_1_R	2099.90204	10018208.793192	6563740.988294	3454467.804898	0.972364
DefaultC_PHC_1_R	2099.90204	9264665.683491	6563740.988294	2700924.695197	0.760256
DefaultC_PHC_2_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
DefaultC_RSC_1_R	378.897583	2774243.592502	2868347.632344	-94104.039842	-0.026488
DefaultC_RSC_2_R	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
DefaultC_RSC_3_R	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
DefaultC_pCun_1_R	1182.535211	2774243.592502	4593942.902608	-1819699.310106	-0.512209
DefaultC_pCun_2_R	1182.535211	2774243.592502	4593942.902608	-1819699.310106	-0.512209
Language_IFG_1_R	2200.098994	1029736.264619	6778886.949475	-5749150.684856	-1.618271
Language_PFCd_1_R	2099.90204	10018208.793192	6563740.988294	3454467.804898	0.972364
Language_PFCl_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
Language_PFCl_2_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
Language_Temp_1_R	1264.138012	8515487.503171	4769162.930317	3746324.572854	1.054515
Language_Temp_2_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
Language_TempPole_1_R	1264.138012	11285070.716461	4769162.930317	6515907.786144	1.834098
Language_TempPole_2_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
ContA_Cingm_1_R	2099.90204	10018208.793192	6563740.988294	3454467.804898	0.972364
ContA_IPS_1_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
ContA_IPS_2_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
ContA_IPS_3_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
