roi_index	roi_name	slope	intercept	population_residual	r_squared
385	VisualB_ExStrInf_3_R	-1.181886	0.091148	0.163799	0.036339
386	VisualB_ExStrInf_4_R	-0.505719	0.097008	0.162709	0.049113
387	VisualB_ExStrSup_1_R	-0.31646	0.101901	0.161899	0.058561
388	VisualB_ExStrSup_2_R	-0.229839	0.100336	0.162101	0.056209
389	VisualB_ExStrSup_3_R	-0.543995	0.093408	0.163813	0.036168
390	VisualB_ExStrSup_4_R	-0.237968	0.099681	0.162398	0.052754
391	VisualB_ExStrSup_5_R	-0.287506	0.096875	0.163108	0.044447
392	VisualB_SPL_1_R	-0.264855	0.098312	0.163916	0.034964
393	VisualB_Striate_1_R	-0.351401	0.103571	0.16137	0.064709
394	VisualB_Striate_2_R	-0.367436	0.097688	0.162781	0.048275
395	VisualB_Striate_3_R	-0.230451	0.100753	0.162704	0.049177
396	VisualC_ExStr_1_R	-0.392807	0.100354	0.161975	0.057676
397	VisualC_ExStr_2_R	-0.421252	0.101454	0.16152	0.06296
398	VisualC_ExStr_3_R	-0.459397	0.103376	0.160936	0.069729
399	VisualC_ExStr_4_R	-0.519116	0.094648	0.162981	0.045942
