roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
SalVenAttnB_IPL_2_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
SalVenAttnB_IPL_3_R	686.117351	187210.944624	83841.630686	103369.313938	1.169398
SalVenAttnB_Ins_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
SalVenAttnB_Ins_2_R	1817.31412	396609.29565	229519.258374	167090.037276	1.890259
SalVenAttnB_Ins_3_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
SalVenAttnB_OFC_1_R	305.978228	66878.704307	34886.606107	31992.0982	0.361921
SalVenAttnB_PFCd_1_R	1618.432847	185065.399941	203906.957458	-18841.557517	-0.213151
SalVenAttnB_PFCl_1_R	1817.31412	475951.214944	229519.258374	246431.95657	2.78784
SalVenAttnB_PFCl_2_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
SalVenAttnB_PFCl_3_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
SalVenAttnB_SPL_1_R	629.071671	38030.990319	76495.181722	-38464.191403	-0.435138
SalVenAttnB_Temp_1_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
SalVenAttnB_Temp_2_R	955.973837	187210.944624	118594.251781	68616.692843	0.776248
DorsAttnA_IPS_1_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
DorsAttnA_IPS_2_R	686.117351	185065.399941	83841.630686	101223.769255	1.145126
DorsAttnA_PrCd_1_R	1817.31412	475951.214944	229519.258374	246431.95657	2.78784
DorsAttnA_PrCv_1_R	1817.31412	475951.214944	229519.258374	246431.95657	2.78784
DorsAttnA_SPL_1_R	629.071671	111398.875327	76495.181722	34903.693605	0.394859
DorsAttnA_SPL_2_R	629.071671	111398.875327	76495.181722	34903.693605	0.394859
DorsAttnA_SPL_3_R	629.071671	66878.704307	76495.181722	-9616.477415	-0.108789
